ID,Price,Levy,Manufacturer,Model,Prod. year,Category,Leather interior,Fuel type,Engine volume,Mileage,Cylinders,Gear box type,Drive wheels,Doors,Wheel,Color,Airbags
45654403,13328,1399,5,701,2010,4,1,2,3.5,186005,6,0,0,1,0,12,12
44731507,16621,1018,1,407,2011,4,0,5,3,192000,6,2,0,1,0,1,8
45774419,8467,1599.33333333333,3,425,2006,3,0,5,1.3,200000,4,3,1,1,1,1,2
45769185,3607,862,2,409,2011,4,1,2,2.5,168966,4,0,0,1,0,14,0
45809263,11726,446,3,425,2014,3,1,5,1.3,91901,4,0,1,1,0,12,4
45802912,39493,891,4,733,2016,4,1,1,2,160931,4,0,1,1,0,14,4
45656768,1803,761,7,643,2010,3,1,2,1.8,258909,4,0,1,1,0,14,12
45816158,549,751,4,748,2013,9,1,5,2.4,216118,4,0,1,1,0,7,12
45641395,1098,394,7,268,2014,9,1,2,2.5,398069,4,0,1,1,0,1,12
45756839,26657,1624,5,694,2007,4,1,5,3.5,128500,6,0,0,1,0,12,12
45621750,941,1053,6,361,2014,9,1,1,3.5,184467,6,0,2,1,0,14,12
45814819,8781,2084,2,799,1999,6,0,0,4,0,8,1,2,0,0,2,0
45661288,1019,1055,5,701,2013,4,1,2,3.5,138038,6,0,1,1,0,14,12
45732604,59464,891,4,733,2016,4,1,1,2,76000,4,0,1,1,0,14,4
45465200,549,1079,7,220,2018,4,1,5,2,74146,4,0,1,1,0,14,12
45772281,7683,810,4,387,2016,9,1,5,1.8,121840,4,0,1,1,0,2,12
45797221,28382,810,4,387,2016,9,1,5,1.8,54317,4,0,1,1,0,14,4
45772104,549,2386,4,748,2006,9,1,5,3.3,295059,6,0,2,1,0,2,12
45653306,941,1850,5,696,2008,4,1,2,3.5,364523,6,0,0,1,0,1,12
45801686,18826,531,4,387,2012,9,1,5,1.6,112645,4,0,1,1,0,12,4
45168471,20698,586,7,643,2012,9,1,6,1.8,187000,4,0,1,1,0,14,12
45751951,17562,1249,7,268,2017,9,1,5,2.5,39709,4,0,1,1,0,1,12
45814106,7840,1533.25,2,799,2001,6,0,1,2,230000,4,1,1,0,0,14,0
45782859,20385,1434.33333333333,6,335,2006,9,1,1,2.2,210000,4,2,2,1,0,1,8
45759112,549,2455,5,517,2008,4,1,5,2,0,8,0,0,1,0,14,0
45804684,30,888.488372093023,7,643,2008,9,0,2,1.5,169000,4,0,1,1,0,14,8
45801525,14454,583,4,387,2011,9,1,5,1.6,158787,4,0,1,1,0,12,4
45768550,12074,1537,7,535,2009,4,1,2,3.3,420550,6,0,0,1,0,2,12
44944581,15681,1288,6,837,2007,2,0,1,2,180000,6,1,2,1,0,14,4
45790136,6899,1711.27272727273,0,871,2000,4,1,0,4.4,200000,8,0,0,1,0,12,6
45770026,125,1750,7,535,2008,9,1,2,3.3,287274,6,0,0,1,0,14,12
45732374,23235,707,4,733,2011,4,1,1,2,162000,4,0,1,1,0,7,4
45369569,51746,1077,7,221,2019,4,0,5,2,10200,4,2,1,1,0,11,12
45642526,7527,1486,3,425,2010,3,0,2,1.3,158000,4,0,1,1,1,1,4
45801668,19121,531,4,387,2012,9,1,5,1.6,103490,4,0,1,1,0,12,4
45661296,314,1399,5,701,2010,4,1,2,3.5,382746,6,0,0,1,0,12,12
45815051,24462,751,7,268,2013,9,1,5,2.4,203200,4,0,1,1,0,2,4
45797488,45734,1091,4,526,2016,10,1,1,2.5,61057,4,0,1,1,0,1,4
45108412,21326,382,4,748,2014,9,1,2,2.4,141000,4,2,1,1,0,14,12
45769564,220,1194,7,792,2013,4,1,5,4,239342,6,0,0,1,0,12,12
45726453,15681,503,7,651,2012,3,0,2,1.5,128000,4,3,1,1,0,13,8
45732544,55390,1017,4,733,2017,4,1,1,2,100734,4,0,1,1,0,1,4
45811563,12544,749.991967871486,7,145,2012,3,0,2,1.5,141500,4,0,1,1,1,1,8
45699930,17249,1185,2,412,2008,4,0,2,2.3,147000,4,3,0,1,0,14,8
45809839,34889,891,3,293,2016,9,1,5,2,87768,4,0,1,1,0,2,4
45769316,392,1017,6,355,2017,9,1,5,2,1600,4,0,2,1,0,1,12
45782169,8781,1496.78125,6,174,2001,1,0,5,2,260000,4,1,2,0,0,2,0
44316016,14069,910.173913043478,6,498,2019,4,1,5,2,5323,4,2,0,1,0,7,0
45813399,392,919,0,94,2012,9,1,5,3,204318,6,0,2,1,0,1,12
44679525,23521,781,1,321,2018,9,0,5,1.4,22000,4,0,1,1,0,11,6
45418626,16935,530,2,465,2013,9,0,5,1.6,83000,4,2,1,1,0,12,8
45323316,10349,872.02838865217,7,824,2007,7,1,5,2.4,170000,4,0,1,1,1,1,6
45778144,5331,1429.8433516297,6,132,2004,9,0,5,1.6,130000,4,2,1,1,0,1,6
45803923,20526,640,4,817,2013,4,1,1,2,200279,4,0,1,1,0,7,4
45803550,9722,765,4,748,2015,9,1,4,2,128965,4,0,1,1,0,8,4
45802190,34657,777,4,526,2014,7,1,1,2.5,154672,4,0,1,1,0,12,4
