Price,Levy,Manufacturer,Model,Prod. year,Category,Leather interior,Fuel type,Engine volume,Mileage,Cylinders,Gear box type,Drive wheels,Doors,Wheel,Color,Airbags,Age,Miles_per_year,Brand_Model
13328,1399.0,LEXUS,RX 450,2010,Jeep,1,Hybrid,3.5,186005,6,Automatic,4x4,4,Left wheel,Silver,12,15,12400.333333333334,LEXUS_RX 450
16621,1018.0,CHEVROLET,Equinox,2011,Jeep,0,Petrol,3.0,192000,6,Tiptronic,4x4,4,Left wheel,Black,8,14,13714.285714285714,CHEVROLET_Equinox
8467,,HONDA,FIT,2006,Hatchback,0,Petrol,1.3,200000,4,Variator,Front,4,Right-hand drive,Black,2,19,10526.315789473685,HONDA_FIT
3607,862.0,FORD,Escape,2011,Jeep,1,Hybrid,2.5,168966,4,Automatic,4x4,4,Left wheel,White,0,14,12069.0,FORD_Escape
11726,446.0,HONDA,FIT,2014,Hatchback,1,Petrol,1.3,91901,4,Automatic,Front,4,Left wheel,Silver,4,11,8354.636363636364,HONDA_FIT
39493,891.0,HYUNDAI,Santa FE,2016,Jeep,1,Diesel,2.0,160931,4,Automatic,Front,4,Left wheel,White,4,9,17881.222222222223,HYUNDAI_Santa FE
1803,761.0,TOYOTA,Prius,2010,Hatchback,1,Hybrid,1.8,258909,4,Automatic,Front,4,Left wheel,White,12,15,17260.6,TOYOTA_Prius
549,751.0,HYUNDAI,Sonata,2013,Sedan,1,Petrol,2.4,216118,4,Automatic,Front,4,Left wheel,Grey,12,12,18009.833333333332,HYUNDAI_Sonata
1098,394.0,TOYOTA,Camry,2014,Sedan,1,Hybrid,2.5,398069,4,Automatic,Front,4,Left wheel,Black,12,11,36188.09090909091,TOYOTA_Camry
26657,,LEXUS,RX 350,2007,Jeep,1,Petrol,3.5,128500,6,Automatic,4x4,4,Left wheel,Silver,12,18,7138.888888888889,LEXUS_RX 350
941,1053.0,MERCEDES-BENZ,E 350,2014,Sedan,1,Diesel,3.5,184467,6,Automatic,Rear,4,Left wheel,White,12,11,16769.727272727272,MERCEDES-BENZ_E 350
8781,,FORD,Transit,1999,Microbus,0,CNG,4.0,0,8,Manual,Rear,2,Left wheel,Blue,0,26,0.0,FORD_Transit
1019,1055.0,LEXUS,RX 450,2013,Jeep,1,Hybrid,3.5,138038,6,Automatic,Front,4,Left wheel,White,12,12,11503.166666666666,LEXUS_RX 450
59464,891.0,HYUNDAI,Santa FE,2016,Jeep,1,Diesel,2.0,76000,4,Automatic,Front,4,Left wheel,White,4,9,8444.444444444445,HYUNDAI_Santa FE
549,1079.0,TOYOTA,CHR,2018,Jeep,1,Petrol,2.0,74146,4,Automatic,Front,4,Left wheel,White,12,7,10592.285714285714,TOYOTA_CHR
7683,810.0,HYUNDAI,Elantra,2016,Sedan,1,Petrol,1.8,121840,4,Automatic,Front,4,Left wheel,Blue,12,9,13537.777777777777,HYUNDAI_Elantra
28382,810.0,HYUNDAI,Elantra,2016,Sedan,1,Petrol,1.8,54317,4,Automatic,Front,4,Left wheel,White,4,9,6035.222222222223,HYUNDAI_Elantra
549,2386.0,HYUNDAI,Sonata,2006,Sedan,1,Petrol,3.3,295059,6,Automatic,Rear,4,Left wheel,Blue,12,19,15529.421052631578,HYUNDAI_Sonata
941,1850.0,LEXUS,RX 400,2008,Jeep,1,Hybrid,3.5,364523,6,Automatic,4x4,4,Left wheel,Black,12,17,21442.529411764706,LEXUS_RX 400
18826,531.0,HYUNDAI,Elantra,2012,Sedan,1,Petrol,1.6,112645,4,Automatic,Front,4,Left wheel,Silver,4,13,8665.0,HYUNDAI_Elantra
20698,586.0,TOYOTA,Prius,2012,Sedan,1,Plug-in Hybrid,1.8,187000,4,Automatic,Front,4,Left wheel,White,12,13,14384.615384615385,TOYOTA_Prius
17562,1249.0,TOYOTA,Camry,2017,Sedan,1,Petrol,2.5,39709,4,Automatic,Front,4,Left wheel,Black,12,8,4963.625,TOYOTA_Camry
7840,,FORD,Transit,2001,Microbus,0,Diesel,2.0,230000,4,Manual,Front,2,Left wheel,White,0,24,9583.333333333334,FORD_Transit
20385,,MERCEDES-BENZ,E 220,2006,Sedan,1,Diesel,2.2,210000,4,Tiptronic,Rear,4,Left wheel,Black,8,19,11052.631578947368,MERCEDES-BENZ_E 220
549,2455.0,LEXUS,GX 470,2008,Jeep,1,Petrol,4.7,0,8,Automatic,4x4,4,Left wheel,White,0,17,0.0,LEXUS_GX 470
30,,TOYOTA,Prius,2008,Sedan,0,Hybrid,1.5,169000,4,Automatic,Front,4,Left wheel,White,8,17,9941.176470588236,TOYOTA_Prius
14454,583.0,HYUNDAI,Elantra,2011,Sedan,1,Petrol,1.6,158787,4,Automatic,Front,4,Left wheel,Silver,4,14,11341.92857142857,HYUNDAI_Elantra
12074,1537.0,TOYOTA,Highlander,2009,Jeep,1,Hybrid,3.3,420550,6,Automatic,4x4,4,Left wheel,Blue,12,16,26284.375,TOYOTA_Highlander
15681,1288.0,MERCEDES-BENZ,Vito,2007,Goods wagon,0,Diesel,2.0,180000,6,Manual,Rear,4,Left wheel,White,4,18,10000.0,MERCEDES-BENZ_Vito
6899,,BMW,X5,2000,Jeep,1,CNG,4.4,200000,8,Automatic,4x4,4,Left wheel,Silver,6,25,8000.0,BMW_X5
125,1750.0,TOYOTA,Highlander,2008,Sedan,1,Hybrid,3.3,287274,6,Automatic,4x4,4,Left wheel,White,12,17,16898.470588235294,TOYOTA_Highlander
