iter	RMSE
0	1.565395052
1	1.521999166
2	1.493239019
3	1.458092308
4	1.436504362
5	1.409748654
6	1.387302391
7	1.359010342
8	1.344720819
9	1.330871675
10	1.319880748
11	1.311808693
12	1.29670643
13	1.284942255
14	1.279496628
15	1.274917227
16	1.265915227
17	1.257315449
18	1.252069299
19	1.240083442
20	1.233560635
21	1.227284817
22	1.221863186
23	1.217604775
24	1.209696372
25	1.204333181
26	1.201883339
27	1.198382191
28	1.194285534
29	1.189778591
30	1.18479197
31	1.180879451
32	1.177530903
33	1.172116516
34	1.166055635
35	1.162205936
36	1.160030056
37	1.155435028
38	1.152487021
39	1.151108382
40	1.150337567
41	1.146886263
42	1.145163479
43	1.141113228
44	1.140055409
45	1.136377155
46	1.132942992
47	1.131680811
48	1.130468364
49	1.128467091
50	1.125801804
51	1.124325652
52	1.120915484
53	1.118978374
54	1.116273359
55	1.114496896
56	1.111299957
57	1.109278284
58	1.107412322
59	1.10374265
60	1.102977232
61	1.100439783
62	1.098568518
63	1.096118601
64	1.092193583
65	1.088868648
66	1.087174413
67	1.085607951
68	1.08319649
69	1.078452961
70	1.07503772
71	1.072882108
72	1.070745984
73	1.069285814
74	1.06786798
75	1.066459835
76	1.062004168
77	1.059319805
78	1.056114598
79	1.051648119
80	1.048730997
81	1.046173745
82	1.040079377
83	1.036203647
84	1.027412789
85	1.022490555
86	1.013622765
87	1.009069665
88	0.9977940939
89	0.9886917736
90	0.978358509
91	0.9674873044
92	0.9567623694
93	0.9455277469
94	0.939060528
95	0.9314596505
96	0.9266143958
97	0.920596051
98	0.9073492912
99	0.8965102718
100	0.8904230317
101	0.8845992023
102	0.8791167264
103	0.8723066678
104	0.8620477126
105	0.8540753893
106	0.8475247535
107	0.8404268938
108	0.8322955019
109	0.8229657032
110	0.8170211397
111	0.8122608389
112	0.807128507
113	0.8026461267
114	0.7985201926
115	0.7940040967
116	0.7909929545
117	0.7883071892
118	0.7855265886
119	0.782267584
120	0.7785638564
121	0.7683517571
122	0.76590524
123	0.764445232
124	0.7619628108
125	0.7595383733
126	0.7570106829
127	0.7554952378
128	0.7529610934
129	0.7512160043
130	0.7493579995
131	0.7448164806
132	0.7420914651
133	0.7404076839
134	0.7383569343
135	0.7358210884
136	0.7317770196
137	0.7312767824
138	0.7277094475
139	0.7241082584
140	0.7206216958
141	0.7182472682
142	0.7167458969
143	0.7133390965
144	0.7108491112
145	0.7093310398
146	0.7070553702
147	0.7024193313
148	0.7015714395
149	0.6982882616
150	0.6937251117
151	0.6925980305
152	0.6917273859
153	0.6885834644
154	0.6861008612
155	0.684820986
156	0.6827687521
157	0.6817850999
158	0.6792422233
159	0.6777962163
160	0.6772470991
161	0.6752830166
162	0.6742041332
163	0.6722922826
164	0.6713732666
165	0.6707408247
166	0.6704313884
167	0.6687107914
168	0.6667911885
169	0.6662707551
170	0.6656561358
171	0.6651960188
172	0.6643286067
173	0.6629434511
174	0.662564342
175	0.661836937
176	0.6609019603
177	0.6593720012
178	0.6584000039
179	0.6575414651
180	0.6551033402
181	0.6545425479
182	0.6523903941
183	0.6513418371
184	0.6506007657
185	0.6491355427
186	0.6481964612
187	0.6472982286
188	0.6438745493
189	0.6431501168
190	0.6425764751
191	0.6415511676
192	0.6395087312
193	0.6389123327
194	0.6368705287
195	0.6363979951
196	0.6356319041
197	0.6344794433
198	0.6333143515
199	0.632797409
200	0.6321879913
201	0.6306082595
202	0.6291979002
203	0.6250187301
204	0.6243011529
205	0.6215363004
206	0.6203837198
207	0.6188604576
208	0.6174649008
209	0.6155382228
210	0.6145866895
211	0.6129249206
212	0.6115605552
213	0.6107499349
214	0.6100612951
215	0.6075312637
216	0.6065282288
217	0.6034217095
218	0.6012536169
219	0.5972441172
220	0.5942666038
221	0.5925531258
222	0.5901214812
223	0.5886611994
224	0.5867589064
225	0.5844615492
226	0.582765401
227	0.5816063734
228	0.5784375109
