iter	Passed	Remaining
0	107	214945
1	204	203893
2	309	206064
3	419	209174
4	510	203558
5	615	204517
6	726	206850
7	836	208392
8	939	207935
9	1036	206314
10	1121	202862
11	1211	200782
12	1300	198700
13	1382	196090
14	1462	193562
15	1542	191243
16	1635	190779
17	1746	192315
18	1856	193559
19	1961	194220
20	2058	194015
21	2161	194368
22	2248	193315
23	2333	192104
24	2427	191809
25	2513	190853
26	2591	189385
27	2672	188248
28	2757	187424
29	2830	185863
30	2942	186897
31	3024	185998
32	3116	185787
33	3189	184420
34	3273	183798
35	3366	183662
36	3433	182140
37	3531	182342
38	3611	181586
39	3685	180575
40	3750	179198
41	3818	178008
42	3901	177553
43	3994	177558
44	4067	176693
45	4136	175723
46	4223	175520
47	4307	175157
48	4387	174682
49	4465	174157
50	4554	174062
51	4638	173755
52	4749	174474
53	4835	174243
54	4945	174889
55	5037	174878
56	5141	175250
57	5235	175284
58	5322	175091
59	5418	175196
60	5506	175018
61	5593	174827
62	5698	175206
63	5793	175242
64	5889	175322
65	5977	175159
66	6058	174797
67	6142	174515
68	6228	174305
69	6346	174986
70	6443	175075
71	6519	174582
72	6612	174542
73	6690	174132
74	6766	173675
75	6838	173130
76	6926	172984
77	7044	173575
78	7145	173747
79	7271	174519
80	7370	174613
81	7466	174653
82	7561	174649
83	7636	174193
84	7782	175338
85	7889	175590
86	8004	175996
87	8100	175992
88	8254	177246
89	8376	177770
90	8508	178490
91	8654	179476
92	8825	180969
93	8965	181780
94	9104	182568
95	9223	182937
96	9321	182883
97	9465	183712
98	9670	185694
99	9834	186850
100	9934	186783
101	10144	188758
102	10322	190115
103	10490	191252
104	10749	193994
105	10927	195251
106	11121	196750
107	11340	198676
108	11528	200000
109	11753	201949
110	11944	203271
111	12134	204556
112	12300	205415
113	12447	205928
114	12583	206260
115	12711	206450
116	12858	206938
117	13001	207364
118	13179	208317
119	13334	208905
120	13502	209672
121	13895	213901
122	14035	214188
123	14171	214395
124	14359	215397
125	14486	215456
126	14656	216147
127	14779	216153
128	14934	216610
129	15080	216926
130	15248	217551
131	15404	217994
132	15536	218092
133	15692	218518
134	15821	218574
135	15955	218687
136	16155	219687
137	16292	219825
138	16608	222368
139	16913	224712
140	17175	226444
141	17340	226896
142	17509	227383
143	17702	228166
144	17905	229062
145	18020	228839
146	18221	229687
147	18440	230759
148	18594	231001
149	18802	231903
150	19019	232897
151	19203	233477
152	19361	233733
153	19571	234609
154	19775	235392
155	19939	235690
156	20129	236301
157	20263	236238
158	20464	236956
159	20624	237181
160	20759	237120
161	20911	237252
162	21094	237728
163	21210	237456
164	21339	237325
165	21534	237917
166	21671	237869
167	21797	237691
168	21970	238038
169	22106	237969
170	22256	238050
171	22393	238001
172	22562	238274
173	22717	238403
174	22838	238171
175	23005	238415
176	23197	238916
177	23411	239636
178	23528	239364
179	23643	239064
180	23811	239296
181	23990	239636
182	24222	240504
183	24390	240719
184	24523	240593
185	24655	240461
186	24828	240719
187	25025	241206
188	25210	241564
189	25421	242170
190	25592	242389
191	25722	242220
192	25909	242582
193	26083	242813
194	26269	243164
195	26427	243243
196	26598	243438
197	26721	243189
198	26876	243241
199	27054	243488
200	27214	243575
201	27350	243449
202	27523	243645
203	27700	243875
204	27805	243463
205	27946	243378
206	28123	243602
207	28274	243595
208	28412	243474
209	28539	243264
210	28695	243300
211	28859	243399
212	29046	243691
213	29186	243584
214	29387	243983
215	29618	244627
