iter	F1	Logloss
0	0.7863678335	0.4248131646
1	0.8026226158	0.3082646688
2	0.7990451019	0.2498231167
3	0.802418668	0.2260906643
4	0.8098254023	0.2097503493
5	0.8103816273	0.2006447517
6	0.8139852966	0.1926564535
7	0.8164201938	0.1883421326
8	0.8180966175	0.1836077881
9	0.8188319428	0.179954834
10	0.8209614405	0.177465922
11	0.8212347354	0.1753381348
12	0.823559279	0.1734246996
13	0.8246830093	0.1715192498
14	0.8261382799	0.1705422804
15	0.8260245036	0.1684004551
16	0.826623816	0.1674450684
17	0.8262600593	0.1665492418
18	0.8259582029	0.1658311462
19	0.8260465116	0.1652860345
20	0.8269100744	0.1642859226
21	0.828286246	0.1626555379
22	0.8289796263	0.1620878092
23	0.8298411626	0.1616875203
24	0.8308004053	0.1613937717
25	0.8318151147	0.1601464674
26	0.8315327481	0.1599382358
27	0.8316731386	0.1593523492
28	0.8316011829	0.158896247
29	0.8322498945	0.1587448459
30	0.8320810469	0.1584955682
31	0.8325455773	0.1581748284
32	0.8325455773	0.1581630113
33	0.8324333446	0.1578471205
34	0.8328272605	0.1576172553
35	0.8327852264	0.1570561896
36	0.8334598195	0.1565375604
37	0.834611172	0.1559899563
38	0.8349907298	0.1556857978
39	0.8352296671	0.1556395806
40	0.8355390711	0.1553932529
41	0.8355240984	0.1547242567
42	0.8361001095	0.1541734314
43	0.8361001095	0.1541730075
44	0.8363667004	0.1537984721
45	0.8367742479	0.1532634481
46	0.8377263158	0.1526675245
47	0.8377968671	0.152645145
48	0.8378947368	0.1525837708
49	0.8382154882	0.1525324164
50	0.8385631362	0.1519837273
51	0.8389809131	0.1516507636
52	0.8396535777	0.1513943821
53	0.8401042981	0.1509531487
54	0.8401042981	0.1509502496
55	0.8405553218	0.1506719971
56	0.8404138975	0.1506228468
57	0.8405821486	0.1506144206
58	0.8408211341	0.1502963596
59	0.8408479139	0.1500533549
60	0.8409186506	0.1499530368
61	0.8406260518	0.1498914422
62	0.8412471636	0.1495691257
63	0.8413178685	0.1495686679
64	0.8412298387	0.1493966166
65	0.8412738425	0.1491534424
66	0.8416806723	0.1490737237
67	0.8420698925	0.1488778347
68	0.8419726119	0.148863288
69	0.842096422	0.1488256327
70	0.8424853065	0.1485385132
71	0.8430154466	0.1483178541
72	0.8435008811	0.1481926643
73	0.8435979191	0.1481681993
74	0.8435271415	0.1481520081
75	0.8435271415	0.148150177
76	0.8434301057	0.1481440057
77	0.8432096693	0.1477729119
78	0.8430154466	0.1476999919
79	0.8432885906	0.1475196838
80	0.8438889355	0.147488539
81	0.8435271415	0.1473675028
82	0.8435271415	0.1473589749
83	0.8435271415	0.1472593011
84	0.8436503942	0.1469570584
85	0.8436503942	0.1469570414
86	0.8443661381	0.1466336568
87	0.8446569368	0.1461011929
88	0.8454248092	0.1457012261
89	0.8453988759	0.1456835768
90	0.8454957222	0.1456517877
91	0.8454957222	0.1456517537
92	0.8454248092	0.1456099616
93	0.8454248092	0.1456097582
94	0.8456184486	0.145603909
95	0.8455475432	0.1456005859
96	0.8455475432	0.1456003655
97	0.8455475432	0.1456002808
98	0.8455475432	0.145600196
99	0.8456702154	0.1453443231
100	0.8458637164	0.1453021749
101	0.8458637164	0.145302141
102	0.846128059	0.1452662998
103	0.8460313469	0.1449043613
104	0.8461022632	0.1448587375
