iter	Passed	Remaining
0	12	3625
1	23	3480
2	33	3347
3	45	3370
4	56	3313
5	67	3295
6	78	3283
7	89	3278
8	100	3255
9	111	3229
10	122	3211
11	133	3215
12	144	3190
13	154	3163
14	165	3152
15	176	3135
16	187	3123
17	197	3100
18	208	3085
19	219	3073
20	231	3070
21	241	3057
22	253	3051
23	264	3038
24	275	3032
25	287	3026
26	298	3016
27	309	3005
28	321	3000
29	331	2986
30	342	2972
31	353	2960
32	365	2953
33	375	2941
34	386	2926
35	396	2910
36	406	2892
37	417	2878
38	427	2858
39	437	2845
40	448	2830
41	458	2819
42	474	2837
43	484	2820
44	493	2798
45	504	2783
46	514	2768
47	524	2752
48	534	2737
49	544	2721
50	555	2710
51	565	2696
52	575	2680
53	585	2665
54	594	2648
55	603	2631
56	613	2615
57	623	2601
58	633	2588
59	643	2575
60	653	2560
61	663	2545
62	673	2534
63	684	2522
64	695	2512
65	705	2499
66	715	2489
67	727	2482
68	737	2468
69	747	2456
70	757	2443
71	768	2432
72	778	2421
73	789	2412
74	800	2402
75	811	2391
76	821	2379
77	831	2367
78	841	2354
79	851	2342
80	861	2329
81	871	2316
82	881	2303
83	890	2289
84	899	2276
85	910	2264
86	919	2252
87	929	2240
88	939	2227
89	949	2216
90	959	2204
91	969	2191
92	979	2180
93	989	2168
94	999	2156
95	1010	2146
96	1020	2136
97	1031	2126
98	1041	2114
99	1051	2102
100	1061	2090
101	1070	2078
102	1080	2067
103	1090	2055
104	1100	2043
105	1110	2032
106	1120	2021
107	1129	2008
108	1139	1996
109	1149	1985
110	1159	1973
111	1169	1962
112	1178	1950
113	1188	1938
114	1198	1928
115	1208	1917
116	1218	1906
117	1229	1895
118	1238	1884
119	1248	1872
120	1258	1861
121	1268	1851
122	1278	1839
123	1288	1829
124	1298	1817
125	1308	1806
126	1318	1795
127	1328	1784
128	1338	1774
129	1348	1762
130	1358	1752
131	1368	1741
132	1378	1730
133	1387	1719
134	1397	1708
135	1407	1697
136	1418	1687
137	1428	1676
138	1437	1665
139	1448	1654
140	1458	1644
141	1468	1634
142	1478	1623
143	1488	1612
144	1498	1602
145	1508	1591
146	1518	1580
147	1528	1569
148	1538	1559
149	1547	1547
150	1557	1536
151	1567	1525
152	1577	1515
153	1587	1504
154	1597	1494
155	1607	1483
156	1617	1473
157	1627	1462
158	1637	1452
159	1647	1441
160	1657	1431
161	1667	1420
162	1677	1409
163	1687	1399
164	1696	1388
165	1707	1378
166	1717	1367
167	1726	1356
168	1737	1346
169	1746	1335
170	1756	1324
171	1765	1314
172	1775	1303
173	1786	1293
174	1796	1283
175	1806	1272
176	1816	1262
177	1826	1251
178	1836	1241
179	1846	1231
180	1856	1220
181	1866	1209
182	1875	1199
183	1885	1188
184	1894	1177
185	1904	1167
186	1914	1157
187	1925	1147
188	1935	1136
189	1945	1126
190	1955	1115
191	1965	1105
192	1974	1094
193	1984	1084
194	1995	1074
195	2004	1063
196	2015	1053
197	2024	1043
198	2035	1032
199	2045	1022
200	2055	1012
201	2065	1002
202	2075	991
203	2084	981
204	2095	971
205	2105	960
206	2115	950
207	2125	940
208	2136	930
209	2145	919
210	2155	909
211	2165	898
212	2174	888
213	2184	877
214	2194	867
215	2204	857
216	2214	846
217	2223	836
218	2233	826
219	2243	815
220	2252	805
221	2262	794
222	2272	784
223	2282	774
224	2292	764
225	2302	753
226	2311	743
227	2321	733
228	2331	722
229	2341	712
230	2351	702
231	2361	692
232	2371	681
233	2381	671
234	2391	661
235	2400	651
236	2410	640
237	2420	630
238	2430	620
239	2441	610
240	2450	599
241	2459	589
242	2469	579
243	2479	568
244	2489	558
245	2499	548
246	2508	538
247	2518	527
248	2528	517
249	2538	507
250	2547	497
251	2558	487
252	2567	477
253	2578	466
254	2587	456
255	2597	446
256	2607	436
257	2617	426
258	2627	415
259	2637	405
260	2648	395
261	2658	385
262	2668	375
263	2678	365
264	2689	355
265	2699	345
266	2709	334
267	2718	324
268	2728	314
269	2738	304
270	2748	294
271	2758	283
272	2768	273
273	2778	263
274	2788	253
275	2798	243
276	2808	233
277	2818	223
278	2828	212
279	2838	202
280	2847	192
281	2858	182
282	2867	172
283	2877	162
284	2888	152
285	2898	141
286	2908	131
287	2918	121
288	2928	111
289	2939	101
290	2949	91
291	2959	81
292	2969	70
293	2980	60
294	2990	50
295	3000	40
296	3010	30
297	3020	20
298	3035	10
299	3045	0
